country,partner,hs_code,imports
CAN,CAN,10129,60199
CAN,USA,10129,33820840
USA,CAN,10129,31150136
USA,CAN,10239,43134823
CAN,USA,10410,1986971
USA,CAN,10410,393660
CAN,USA,10611,882545
USA,CAN,10632,65735
CAN,CAN,20319,79999
CAN,USA,20319,409350077
USA,CAN,20319,719233448
CAN,USA,20422,2689583
CAN,USA,20690,73975
USA,CAN,20690,274025
CAN,USA,20725,676
USA,CAN,20725,125301
CAN,USA,20745,960302
USA,CAN,20745,4406472
CAN,USA,20850,68801
CAN,USA,21011,32216452
USA,CAN,21011,3491830
CAN,USA,21099,2247374
CAN,WLD,10129,56047457
USA,WLD,10129,330593041
USA,WLD,10239,43134823
CAN,WLD,10410,1986971
USA,WLD,10410,393660
CAN,WLD,10611,10674802
USA,WLD,10611,61006295
USA,WLD,10632,65735
CAN,WLD,20319,410406495
USA,WLD,20319,720073343
CAN,WLD,20422,48266235
USA,WLD,20422,281466362
CAN,WLD,20690,719457
USA,WLD,20690,7970571
CAN,WLD,20725,676
USA,WLD,20725,125301
CAN,WLD,20745,6816854
USA,WLD,20745,4406472
CAN,WLD,20850,215976
USA,WLD,20850,100624
CAN,WLD,21011,32356921
USA,WLD,21011,11394394
CAN,WLD,21099,2374611
USA,CAN,21099,1660162
CAN,USA,30223,147676
USA,CAN,30223,254095
MEX,CAN,10129,11998
MEX,USA,10129,71151054
MEX,USA,10410,2979958
MEX,CAN,20319,13310992
MEX,USA,20319,126969793
MEX,USA,20422,606463
MEX,CAN,20690,59514
MEX,USA,20690,2285737
MEX,USA,20725,26856216
MEX,USA,20745,914301
MEX,CAN,21011,4594
MEX,USA,21011,547383
MEX,USA,21099,4994980
MEX,USA,30272,180144
MEX,USA,30324,324668
MEX,USA,30384,44275
MEX,CAN,30471,2698
MEX,USA,30471,454368
CAN,USA,30235,180431
USA,CAN,30235,1284886
CAN,CAN,30252,5702
CAN,USA,30252,908420
USA,CAN,30252,8811233
CAN,USA,30272,124163
CAN,USA,30284,135887
USA,CAN,30334,587890
CAN,CAN,30366,41737
CAN,USA,30366,55411
USA,CAN,30366,8739
CAN,CAN,30384,216
CAN,USA,30384,19696
CAN,CAN,30439,6493
CAN,USA,30439,344533
CAN,USA,30454,37457
CAN,CAN,30471,1788
CAN,USA,30471,4535179
USA,CAN,30471,3102964
CAN,USA,30482,487731
USA,CAN,30482,12700
CAN,USA,30495,3979156
USA,CAN,30495,14878
USA,WLD,21099,1673854
CAN,WLD,30223,211811
MEX,WLD,10129,102393728
MEX,WLD,10410,2979958
MEX,WLD,10611,679691
MEX,WLD,10632,171432
MEX,WLD,20319,140282487
MEX,WLD,20422,1236312
MEX,WLD,20690,2691225
MEX,WLD,20725,27021991
MEX,WLD,20745,914301
MEX,WLD,21011,3828444
MEX,WLD,21099,9198514
MEX,WLD,30223,29737
MEX,WLD,30272,180144
MEX,WLD,30324,501708
MEX,WLD,30334,69326
MEX,WLD,30366,74806
MEX,WLD,30384,1427223
MEX,WLD,30471,575021
USA,WLD,30223,5706290
CAN,WLD,30235,306367
USA,MEX,10129,2576870
CAN,MEX,20319,930781
CAN,MEX,30235,81907
USA,MEX,30235,6162728
USA,MEX,30284,46499
USA,MEX,30366,41100
USA,MEX,30482,70324
CAN,USA,30539,4361
USA,CAN,30539,434960
CAN,USA,30559,7384
USA,CAN,30559,3201619
CAN,CAN,30612,9307911
CAN,USA,30612,4638508
USA,CAN,30612,485948617
CAN,CAN,30622,219731
CAN,USA,30622,306942400
USA,CAN,30622,360375920
CAN,CAN,30711,297
CAN,USA,30711,12667841
USA,CAN,30711,17745736
CAN,CAN,30771,4639
CAN,USA,30771,5140734
USA,CAN,30771,13052708
